Generation Min Max Average Stddeviation
433 123167.0 133032.0 125205.4 2892.2264537899723
434 123167.0 133472.0 125133.1 3007.268273699457
435 123167.0 134805.0 124726.24 2769.9218621467244
436 123159.0 134454.0 125024.3 3099.040995211285
437 123159.0 137554.0 124923.29 3194.5574006270226
438 123167.0 135000.0 124627.7 3196.2855551405887
439 123167.0 134758.0 124782.26 3042.746067683025
440 123167.0 134170.0 124524.66 2810.464798640861
441 123167.0 133930.0 124853.59 3031.5627260376937
442 123167.0 136420.0 125152.45 3566.268916879537
443 123167.0 132212.0 125371.34 2985.6193736645614
444 123165.0 131475.0 124667.26 2401.3384751843428
445 123167.0 131628.0 124412.8 2493.6814832692953
446 123167.0 133673.0 124619.0 2720.6016650733854
447 123167.0 134934.0 124955.0 3110.8139545783006
448 123167.0 132132.0 124988.42 2982.110659180946
449 123167.0 134446.0 124548.45 2723.3185358124833
450 123167.0 133730.0 124789.5 3054.047519276673
451 123167.0 135041.0 124843.93 2936.661591859265
452 123167.0 132133.0 125046.82 3116.679930245911
453 123167.0 132771.0 125639.37 3303.192981510797
454 123167.0 135099.0 125467.98 3405.2283182777896
455 123167.0 134283.0 125657.93 3310.9742350403935
456 123167.0 134709.0 125443.89 3243.3571893796434
457 123167.0 133329.0 125841.95 3502.3756262714246
458 123149.0 133992.0 124963.68 2948.9736786890426
459 123081.0 133783.0 125468.81 3406.156343138291
460 123081.0 136528.0 125401.12 3731.3500968953435
461 123081.0 134422.0 125006.25 2959.7365064309356
462 123081.0 133830.0 124920.91 3058.0978927920264
463 123081.0 135160.0 125357.05 3246.4648877660784
464 123081.0 133013.0 125167.72 3315.1462956556456
465 123081.0 135682.0 125086.34 3147.8560552226545
466 123081.0 132890.0 124589.59 2834.989093788806
467 123081.0 133581.0 124685.79 2965.640552376585
468 123081.0 132417.0 124796.85 2957.1607848575486
469 123081.0 135252.0 125127.63 3243.9152413556667
470 123081.0 136718.0 125120.27 3305.1841366400936
471 123081.0 133960.0 125284.93 3393.7810396520763
472 123081.0 135841.0 125368.07 3474.927778400266
473 123081.0 137690.0 125644.2 3861.815743921524
474 123081.0 133085.0 125110.37 3159.893848391194
475 123081.0 134213.0 125507.89 3467.1913875499936
476 123081.0 133947.0 125072.46 3142.3871353478366
477 123081.0 135535.0 124915.52 3273.430733893419
478 123081.0 132920.0 124645.63 2788.1258531673025
479 123081.0 134441.0 125120.76 3420.91905814828
480 123081.0 135236.0 124833.43 3225.169680048346
481 123081.0 133581.0 124742.32 2940.998394695247
482 123081.0 135439.0 124609.31 2959.952525615805
483 123081.0 133634.0 124830.9 3108.405213288837
484 123081.0 134120.0 124860.76 3140.774232955965
485 123081.0 132570.0 124910.98 3090.9893658182636
486 123081.0 132840.0 124807.78 2987.5129441728645
487 123081.0 133304.0 124964.86 3113.7267960433046
488 123081.0 135487.0 124837.3 3012.044619523258
489 122829.0 131978.0 124596.54 2630.1225310624463
490 122668.0 133177.0 124247.7 2710.634333509719
491 122668.0 134308.0 125031.43 3232.090414128709
492 122668.0 133961.0 124826.66 3135.9023461199668
493 122668.0 133068.0 124483.6 2822.0505381725134
494 122668.0 133651.0 124726.54 3163.9203068978723
495 122668.0 131949.0 124416.78 2781.0206672373056
496 122668.0 133984.0 124572.48 3154.3694535676987
497 122668.0 132210.0 124383.52 2960.8208540198134
498 122668.0 134899.0 123994.19 2772.853190109421
499 122668.0 133343.0 124294.39 3020.565953244576
